"","patent_number","citation_count"
"962","8172862",0
"963","8172860",0
"964","8483434",0
"965","8849400",0
"966","8801749",0
"967","8801747",0
"968","8801746",0
"969","8801745",0
"970","8801744",0
"971","8409238",0
"972","RE42395",0
"973","8721640",0
"974","8409233",0
"975","8920867",0
"976","7052513",0
"977","7052512",0
"978","8641674",0
"979","7278983",0
"980","7526849",0
"981","7514038",0
"982","8353819",0
"983","7011661",34
"984","7815564",0
"985","8057876",0
"986","7081096",0
"987","7950155",0
"988","7717865",0
"989","8393323",0
"990","8022188",47
"991","8024042",40
"992","7485122",0
"993","7473242",0
"994","7198751",0
"995","8453652",0
"996","8868208",0
"997","8277410",0
"998","8591506",0
"999","8591504",0
"1000","8465420",0
"1001","7744909",0
"1002","8591509",0
"1003","8868207",0
"1004","8897198",0
"1005","8936631",0
"1006","8348991",0
"1007","7241344",0
"1008","8805533",0
"1009","8805534",0
"1010","8805537",0
"1011","8805538",0
"1012","8805539",0
"1013","7303543",0
"1014","7686787",0
"1015","7875054",0
"1016","8715180",0
"1017","7846148",0
"1018","8182741",0
"1019","7594928",0
"1020","7144419",1
"1021","7594926",0
"1022","8361072",0
"1023","8361071",0
"1024","7771438",0
"1025","8372062",0
"1026","8221685",0
"1027","8556511",0
"1028","7771436",0
"1029","7183416",0
"1030","8734397",0
"1031","8734398",0
"1032","8092998",0
"1033","7097615",0
"1034","8657831",0
"1035","7869853",0
"1036","7981105",0
"1037","7510570",0
"1038","7510571",0
"1039","7806886",0
"1040","7936214",0
"1041","7670357",0
"1042","8860456",0
"1043","8748186",0
"1044","8920488",0
"1045","7799050",0
"1046","7175669",0
"1047","8920481",0
"1048","8920485",0
"1049","8900190",0
"1050","7388378",0
"1051","8307473",0
"1052","8388136",0
"1053","8983595",0
"1054","7442183",0
"1055","7902222",0
"1056","7442187",0
"1057","7780611",0
"1058","7955384",0
"1059","7955385",0
"1060","7955382",0
"1061","7955383",0
"1062","7955380",0
"1063","6902207",0
"1064","7060822",0
"1065","8102254",0
"1066","8388647",0
"1067","7008401",18
"1068","8665091",0
"1069","7354628",0
"1070","8241353",0
"1071","8241355",0
"1072","8730058",0
"1073","8855777",0
"1074","8658749",0
"1075","7560481",0
"1076","8323179",0
"1077","8983620",0
"1078","8337515",0
"1079","8983625",0
"1080","7691078",0
"1081","7364585",0
"1082","7491228",0
"1083","8496677",0
"1084","8496674",0
"1085","8685019",0
"1086","7765012",0
"1087","7765011",0
"1088","8579919",0
"1089","D663223",0
"1090","7765014",0
"1091","8333757",0
"1092","8685015",0
"1093","7354194",0
"1094","8685016",0
"1095","8333758",0
"1096","8323285",0
"1097","8333759",0
"1098","8323289",0
"1099","7804228",0
"1100","8187625",0
"1101","7977106",0
"1102","7753947",0
"1103","7840276",0
"1104","7840275",0
"1105","7840279",0
"1106","8640699",0
"1107","7378545",0
"1108","8089363",0
"1109","7648497",0
"1110","8811662",0
"1111","7648499",0
"1112","8932621",0
"1113","6945956",0
"1114","7815763",0
"1115","7955343",0
"1116","8868201",0
"1117","8177716",0
"1118","8712534",0
"1119","7688166",0
"1120","8825145",0
"1121","7050856",0
"1122","7050855",0
"1123","8712539",0
"1124","7050850",0
"1125","7050851",0
"1126","6969371",0
"1127","8112138",0
"1128","8940799",0
"1129","7786105",0
"1130","8636707",0
"1131","7220127",0
"1132","8454674",0
"1133","8583205",0
"1134","8851353",0
"1135","7625552",0
"1136","7264772",0
"1137","8323651",0
"1138","8706260",0
"1139","7502647",0
"1140","8858456",0
"1141","7164572",0
"1142","6896842",0
"1143","8486095",0
"1144","8083732",0
"1145","8393516",0
"1146","8486091",0
"1147","8834417",0
"1148","8834416",0
"1149","7959630",0
"1150","8121701",0
"1151","8728093",0
"1152","7027876",35
"1153","7883464",0
"1154","8950398",0
"1155","8728095",0
"1156","8728094",0
"1157","8535219",0
"1158","6974437",0
"1159","7331613",0
"1160","7279112",0
"1161","8616428",0
"1162","8616429",0
"1163","8535216",0
"1164","7890179",0
"1165","7890178",0
"1166","8828091",0
"1167","7331948",0
"1168","8725228",0
"1169","7890177",0
"1170","7890176",0
"1171","8624741",0
"1172","8123702",0
"1173","7534223",0
"1174","8158904",0
"1175","8123705",0
"1176","7993356",0
"1177","8870829",0
"1178","7993350",0
"1179","8679111",0
"1180","7785293",0
"1181","7309330",0
"1182","7654843",0
"1183","8825175",0
"1184","7033370",0
"1185","8646460",0
"1186","7789891",0
"1187","7122653",0
"1188","7789893",0
"1189","7835557",0
"1190","7575590",0
"1191","8048069",0
"1192","7794472",0
"1193","8588925",0
"1194","7925322",0
"1195","7066891",0
"1196","6938289",0
"1197","7925328",0
"1198","7169139",0
"1199","8974436",0
"1200","8399468",0
"1201","7887563",0
"1202","7981153",0
"1203","7981150",0
"1204","8366661",0
"1205","8084616",0
"1206","8043292",0
"1207","8383158",0
"1208","8419693",0
"1209","8419694",0
"1210","8388630",0
"1211","8956642",0
"1212","7399311",0
"1213","8491579",0
"1214","8160900",0
"1215","7021114",44
"1216","8740989",0
"1217","7067765",0
"1218","8175710",0
"1219","8057407",0
"1220","8057405",0
"1221","8175717",0
"1222","8690039",0
"1223","8343176",0
"1224","8418349",0
"1225","8308713",0
"1226","7828916",0
"1227","7308316",0
"1228","RE44763",0
"1229","7332497",0
"1230","7335440",0
"1231","7378048",0
"1232","7835803",0
"1233","8114049",0
"1234","8114048",1
"1235","8856992",0
"1236","7208590",0
"1237","7413482",0
"1238","8480705",0
"1239","6889084",0
"1240","8163101",0
"1241","8480700",0
"1242","6889083",0
"1243","8480702",0
"1244","8480703",0
"1245","7636595",0
"1246","8968276",0
"1247","7399272",0
"1248","8556950",0
"1249","8758325",0
"1250","8748378",0
"1251","8929984",0
"1252","8795176",0
"1253","8348837",0
"1254","7283878",0
"1255","8257258",0
"1256","8109927",0
"1257","7972358",0
"1258","7972356",0
"1259","7803021",0
"1260","8798527",0
"1261","7972350",0
"1262","7972351",0
"1263","7892281",0
"1264","7892283",0
"1265","7892282",0
"1266","7761166",0
"1267","6898463",0
"1268","8708212",0
"1269","8708211",0
"1270","7412282",0
"1271","8192481",0
"1272","7811304",0
"1273","8777980",0
"1274","8231669",0
"1275","8628509",0
"1276","6871098",0
"1277","6871096",0
"1278","8864653",0
"1279","6871091",0
"1280","8798741",0
"1281","8607789",0
"1282","8607788",0
"1283","8556894",0
"1284","8543180",0
"1285","8980106",0
"1286","8556890",0
"1287","7591831",0
"1288","6911019",1
"1289","RE40863",0
"1290","8790388",0
"1291","7243408",0
"1292","8940544",0
"1293","8168760",0
"1294","7377937",0
"1295","7927742",0
"1296","8866592",0
"1297","7377931",0
"1298","8418907",0
"1299","7149572",0
"1300","7149573",0
"1301","6979473",0
"1302","7149577",0
"1303","8377356",0
